#r 	 1s 	 2s 
0.000000	0.000000	0.000000
0.001738	0.025223	0.007135
0.001793	0.026018	0.007360
0.001850	0.026838	0.007592
0.001909	0.027683	0.007831
0.001969	0.028555	0.008078
0.002032	0.029454	0.008332
0.002096	0.030381	0.008594
0.002163	0.031337	0.008865
0.002232	0.032323	0.009144
0.002302	0.033340	0.009431
0.002376	0.034388	0.009728
0.002451	0.035469	0.010034
0.002529	0.036583	0.010349
0.002609	0.037733	0.010674
0.002692	0.038918	0.011009
0.002777	0.040139	0.011355
0.002865	0.041399	0.011711
0.002956	0.042697	0.012078
0.003050	0.044036	0.012457
0.003147	0.045416	0.012847
0.003247	0.046839	0.013250
0.003350	0.048306	0.013665
0.003456	0.049819	0.014093
0.003566	0.051377	0.014534
0.003679	0.052984	0.014988
0.003796	0.054641	0.015457
0.003917	0.056348	0.015940
0.004041	0.058108	0.016437
0.004169	0.059922	0.016950
0.004301	0.061791	0.017479
0.004438	0.063718	0.018024
0.004579	0.065704	0.018586
0.004724	0.067750	0.019165
0.004874	0.069859	0.019761
0.005029	0.072032	0.020376
0.005189	0.074271	0.021009
0.005353	0.076578	0.021662
0.005523	0.078955	0.022334
0.005699	0.081404	0.023027
0.005879	0.083928	0.023741
0.006066	0.086527	0.024476
0.006259	0.089205	0.025233
0.006457	0.091964	0.026014
0.006662	0.094806	0.026817
0.006874	0.097733	0.027645
0.007092	0.100747	0.028498
0.007317	0.103852	0.029376
0.007549	0.107049	0.030280
0.007789	0.110342	0.031211
0.008036	0.113732	0.032170
0.008291	0.117223	0.033157
0.008555	0.120817	0.034174
0.008826	0.124517	0.035220
0.009106	0.128326	0.036297
0.009395	0.132247	0.037406
0.009694	0.136282	0.038547
0.010001	0.140436	0.039721
0.010319	0.144710	0.040930
0.010646	0.149109	0.042174
0.010984	0.153635	0.043453
0.011333	0.158292	0.044770
0.011693	0.163082	0.046124
0.012064	0.168010	0.047517
0.012447	0.173079	0.048950
0.012842	0.178292	0.050424
0.013250	0.183652	0.051939
0.013670	0.189165	0.053497
0.014104	0.194832	0.055099
0.014552	0.200658	0.056746
0.015014	0.206647	0.058438
0.015490	0.212802	0.060177
0.015982	0.219128	0.061965
0.016489	0.225627	0.063801
0.017013	0.232304	0.065688
0.017553	0.239164	0.067625
0.018110	0.246208	0.069615
0.018685	0.253443	0.071659
0.019278	0.260872	0.073756
0.019890	0.268498	0.075910
0.020521	0.276326	0.078120
0.021173	0.284359	0.080388
0.021845	0.292602	0.082715
0.022538	0.301059	0.085101
0.023254	0.309733	0.087549
0.023992	0.318628	0.090059
0.024753	0.327749	0.092631
0.025539	0.337098	0.095268
0.026350	0.346680	0.097970
0.027186	0.356498	0.100738
0.028049	0.366556	0.103572
0.028940	0.376856	0.106475
0.029858	0.387404	0.109446
0.030806	0.398200	0.112486
0.031784	0.409249	0.115597
0.032793	0.420553	0.118778
0.033834	0.432115	0.122030
0.034908	0.443937	0.125355
0.036016	0.456022	0.128752
0.037159	0.468371	0.132221
0.038339	0.480986	0.135764
0.039556	0.493868	0.139380
0.040811	0.507018	0.143069
0.042107	0.520437	0.146831
0.043443	0.534126	0.150666
0.044823	0.548083	0.154574
0.046245	0.562309	0.158554
0.047713	0.576803	0.162606
0.049228	0.591563	0.166728
0.050791	0.606587	0.170920
0.052403	0.621872	0.175181
0.054066	0.637416	0.179509
0.055783	0.653213	0.183903
0.057553	0.669261	0.188361
0.059380	0.685554	0.192880
0.061265	0.702086	0.197459
0.063210	0.718850	0.202094
0.065216	0.735838	0.206784
0.067287	0.753043	0.211524
0.069422	0.770454	0.216311
0.071626	0.788063	0.221141
0.073900	0.805857	0.226011
0.076246	0.823824	0.230914
0.078666	0.841951	0.235847
0.081163	0.860223	0.240804
0.083740	0.878626	0.245778
0.086398	0.897142	0.250764
0.089140	0.915753	0.255755
0.091970	0.934440	0.260744
0.094889	0.953183	0.265722
0.097901	0.971960	0.270681
0.101009	0.990747	0.275613
0.104216	1.009521	0.280508
0.107524	1.028255	0.285356
0.110937	1.046921	0.290147
0.114458	1.065493	0.294868
0.118092	1.083938	0.299508
0.121840	1.102225	0.304056
0.125708	1.120322	0.308496
0.129698	1.138195	0.312817
0.133815	1.155806	0.317002
0.138063	1.173120	0.321037
0.142446	1.190098	0.324907
0.146967	1.206700	0.328593
0.151633	1.222884	0.332079
0.156446	1.238610	0.335347
0.161412	1.253833	0.338379
0.166536	1.268509	0.341154
0.171822	1.282594	0.343652
0.177277	1.296041	0.345854
0.182904	1.308804	0.347736
0.188710	1.320835	0.349279
0.194700	1.332087	0.350458
0.200881	1.342512	0.351250
0.207257	1.352063	0.351632
0.213836	1.360691	0.351580
0.220624	1.368349	0.351069
0.227628	1.374991	0.350074
0.234853	1.380571	0.348570
0.242308	1.385043	0.346531
0.250000	1.388364	0.343932
0.257936	1.390491	0.340746
0.266124	1.391385	0.336949
0.274571	1.391007	0.332515
0.283287	1.389322	0.327418
0.292280	1.386295	0.321634
0.301558	1.381897	0.315138
0.311130	1.376102	0.307906
0.321006	1.368886	0.299916
0.331196	1.360229	0.291146
0.341709	1.350118	0.281574
0.352557	1.338540	0.271182
0.363748	1.325492	0.259951
0.375294	1.310971	0.247866
0.387208	1.294983	0.234911
0.399499	1.277539	0.221076
0.412180	1.258654	0.206349
0.425264	1.238350	0.190724
0.438764	1.216657	0.174197
0.452692	1.193609	0.156766
0.467061	1.169246	0.138433
0.481888	1.143617	0.119205
0.497184	1.116776	0.099092
0.512967	1.088782	0.078106
0.529250	1.059703	0.056266
0.546050	1.029612	0.033595
0.563384	0.998587	0.010120
0.581267	0.966713	-0.014125
0.599719	0.934081	-0.039103
0.618756	0.900784	-0.064770
0.638397	0.866923	-0.091078
0.658662	0.832602	-0.117971
0.679570	0.797925	-0.145389
0.701142	0.763005	-0.173265
0.723399	0.727952	-0.201527
0.746362	0.692880	-0.230097
0.770054	0.657902	-0.258891
0.794498	0.623132	-0.287819
0.819718	0.588681	-0.316787
0.845739	0.554662	-0.345694
0.872586	0.521180	-0.374436
0.900285	0.488339	-0.402904
0.928863	0.456239	-0.430984
0.958348	0.424973	-0.458562
0.988769	0.394627	-0.485519
1.020156	0.365282	-0.511734
1.052539	0.337011	-0.537086
1.085950	0.309877	-0.561454
1.120422	0.283934	-0.584717
1.155988	0.259229	-0.606756
1.192683	0.235798	-0.627455
1.230543	0.213667	-0.646701
1.269605	0.192852	-0.664388
1.309906	0.173359	-0.680414
1.351487	0.155187	-0.694683
1.394388	0.138322	-0.707111
1.438651	0.122744	-0.717620
1.484318	0.108422	-0.726143
1.531436	0.095322	-0.732623
1.580049	0.083398	-0.737018
1.630205	0.072601	-0.739294
1.681953	0.062877	-0.739435
1.735344	0.054168	-0.737436
1.790430	0.046409	-0.733307
1.847264	0.039538	-0.727072
1.905902	0.033490	-0.718769
1.966402	0.028196	-0.708454
2.028823	0.023594	-0.696193
2.093224	0.019618	-0.682068
2.159670	0.016205	-0.666176
2.228226	0.013296	-0.648623
2.298957	0.010833	-0.629530
2.371934	0.008763	-0.609030
2.447227	0.007037	-0.587262
2.524911	0.005608	-0.564375
2.605060	0.004434	-0.540527
2.687753	0.003477	-0.515880
2.773072	0.002704	-0.490599
2.861098	0.002085	-0.464855
2.951920	0.001593	-0.438814
3.045623	0.001207	-0.412644
3.142302	0.000905	-0.386512
3.242049	0.000672	-0.360575
3.344963	0.000494	-0.334986
3.451144	0.000360	-0.309891
3.560695	0.000259	-0.285424
3.673723	0.000185	-0.261708
3.790340	0.000130	-0.238856
3.910658	0.000090	-0.216964
4.034796	0.000062	-0.196115
4.162874	0.000042	-0.176378
4.295018	0.000028	-0.157806
4.431356	0.000019	-0.140437
4.572022	0.000012	-0.124293
4.717154	0.000008	-0.109383
4.866892	0.000005	-0.095700
5.021384	0.000003	-0.083227
5.180780	0.000002	-0.071931
5.345236	0.000001	-0.061772
5.514912	0.000001	-0.052699
5.689974	0.000000	-0.044655
5.870593	0.000000	-0.037574
6.056946	0.000000	-0.031388
6.249214	0.000000	-0.026026
6.447585	0.000000	-0.021416
6.652253	0.000000	-0.017483
6.863418	0.000000	-0.014156
7.081287	0.000000	-0.011366
7.306071	0.000000	-0.009047
7.537991	0.000000	-0.007137
7.777272	0.000000	-0.005579
8.024149	0.000000	-0.004319
8.278863	0.000000	-0.003311
8.541662	0.000000	-0.002513
8.812804	0.000000	-0.001887
9.092552	-0.000000	-0.001402
9.381181	-0.000000	-0.001031
9.678971	-0.000000	-0.000749
9.986215	-0.000000	-0.000537
10.303211	-0.000000	-0.000381
10.630271	-0.000000	-0.000267
10.967712	-0.000000	-0.000184
11.315864	-0.000000	-0.000126
11.675068	-0.000000	-0.000085
12.045675	0.000000	-0.000056
12.428045	0.000000	-0.000037
12.822554	0.000000	-0.000024
13.229585	0.000000	-0.000015
13.649538	0.000000	-0.000009
14.082820	0.000000	-0.000006
14.529857	0.000000	-0.000003
14.991084	-0.000000	-0.000002
15.466952	-0.000000	-0.000001
15.957926	-0.000000	-0.000001
16.464485	-0.000000	-0.000000
16.987124	-0.000000	-0.000000
17.526353	-0.000000	-0.000000
18.082699	0.000000	-0.000000
18.656706	0.000000	-0.000000
19.248933	0.000000	-0.000000
19.859960	0.000000	-0.000000
20.490383	0.000000	-0.000000
21.140817	-0.000000	-0.000000
21.811899	-0.000000	-0.000000
22.504283	-0.000000	0.000000
23.218645	-0.000000	0.000000
23.955684	0.000000	0.000000
24.716119	0.000000	0.000000
25.500693	0.000000	0.000000
26.310172	0.000000	-0.000000
27.145347	-0.000000	-0.000000
28.007032	-0.000000	-0.000000
28.896071	-0.000000	-0.000000
29.813331	0.000000	0.000000
30.759708	0.000000	0.000000
31.736126	0.000000	0.000000
32.743538	-0.000000	0.000000
33.782930	-0.000000	-0.000000
34.855315	-0.000000	-0.000000
35.961742	0.000000	-0.000000
37.103290	0.000000	-0.000000
38.281075	-0.000000	0.000000
39.496246	-0.000000	0.000000
40.749992	0.000000	0.000000
42.043535	0.000000	-0.000000
43.378140	0.000000	-0.000000
44.755110	-0.000000	-0.000000
46.175790	-0.000000	0.000000
47.641567	0.000000	0.000000
49.153873	0.000000	-0.000000
50.714184	-0.000000	-0.000000
52.324025	0.000000	0.000000
53.984968	-0.000000	0.000000
55.698635	0.000000	0.000000
57.466699	-0.000000	-0.000000
59.290888	0.000000	0.000000
61.172983	-0.000000	0.000000
63.114822	0.000000	-0.000000
65.118302	-0.000000	-0.000000
67.185378	0.000000	0.000000
69.318071	-0.000000	-0.000000
71.518463	0.000000	-0.000000
73.788703	0.000000	0.000000
76.131007	-0.000000	-0.000000
78.547665	0.000000	0.000000
81.041036	-0.000000	-0.000000
83.613554	-0.000000	-0.000000
86.267733	0.000000	0.000000
89.006165	-0.000000	-0.000000
91.831524	-0.000000	0.000000
94.746570	0.000000	0.000000
97.754149	-0.000000	0.000000
100.857198	-0.000000	-0.000000
104.058750	0.000000	0.000000
107.361929	0.000000	0.000000
110.769962	-0.000000	-0.000000
114.286178	0.000000	0.000000
117.914011	0.000000	0.000000
121.657004	-0.000000	-0.000000
125.518811	-0.000000	-0.000000
129.503206	0.000000	0.000000
133.614079	0.000000	0.000000
137.855445	0.000000	0.000000
142.231447	0.000000	0.000000
146.746358	0.000000	0.000000
151.404587	0.000000	0.000000
156.210685	0.000000	0.000000
161.169344	-0.000000	-0.000000
166.285408	-0.000000	-0.000000
171.563874	0.000000	0.000000
177.009896	-0.000000	-0.000000
182.628793	0.000000	0.000000
188.426053	0.000000	0.000000
194.407338	-0.000000	-0.000000
200.578489	0.000000	0.000000
206.945534	0.000000	0.000000
213.514691	0.000000	0.000000
220.292374	0.000000	0.000000
